"Champion","Name","Algorithm Name","KS (Youden)","Accuracy","Average Squared Error","Area Under ROC","Cumulative Lift","Cumulative Captured Response Percentage","Cutoff","Data Role","Depth","F1 Score","False Discovery Rate","False Positive Rate","Gain","Gini Coefficient","ROC Separation","Lift","Misclassification Rate","Multi-Class Log Loss","Misclassification at Cutoff","Misclassification Rate (Event)","Number of Observations","Root Average Squared Error","Captured Response Percentage"
"true","Gradient Boosting","Gradient Boosting","0.8918","0.9537","0.0139","0.9877","5.0379","50.3788","0.5000","TEST","10","0.8814","0.1236","0.0301","4.0379","0.9755","0.8563","4.9242","0.0639","0.1824","0.0639","0.0463","1,362","0.1179","24.6212"
"false","Logistic Regression","Logistic Regression","0.6984","0.8385","0.0642","0.8979","3.1818","31.8182","0.5000","TEST","10","0.5941","0.4209","0.1066","2.1818","0.7957","0.5033","3.1818","0.3502","0.7925","0.3502","0.1615","1,362","0.2535","15.9091"
"false","Decision Tree","Decision Tree","0.8372","0.9435","0.0224","0.9562","4.4089","44.0895","0.5000","TEST","10","0.8566","0.1575","0.0392","3.4089","0.9124","0.8321","4.3988","0.0910","0.4481","0.0910","0.0565","1,362","0.1497","21.9940"
"false","Forest","Forest","0.8791","0.9523","0.0157","0.9859","5.0758","50.7576","0.5000","TEST","10","0.8767","0.1217","0.0291","4.0758","0.9718","0.8459","5","0.0720","0.2078","0.0720","0.0477","1,362","0.1255","25"
